date,transaction_id,stockcode,product,customer_id,price,quantity,category,brand,size,flavor,promo_flag,cost
2024-07-06,TXN000592,SKU003,Bakery 01,CUST0060,7.92,3,Bakery,B1,S,F4,False,4.75
2024-07-06,TXN000778,SKU000,Coffee 01,CUST0078,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-06,TXN000778,SKU003,Bakery 01,CUST0078,7.92,2,Bakery,B1,S,F4,False,4.75
2024-07-06,TXN000778,SKU035,Bakery 05,CUST0078,7.37,1,Bakery,B3,S,F4,False,4.42
2024-07-06,TXN000778,SKU004,Dairy 01,CUST0078,3.85,3,Dairy,B2,M,F1,False,2.31
2024-07-07,TXN000356,SKU001,Snacks 01,CUST0035,8.26,1,Snacks,B2,L,F2,False,4.96
2024-07-07,TXN000356,SKU007,Pet 01,CUST0035,12.11,2,Pet,B2,L,F4,False,7.27
2024-07-07,TXN000356,SKU000,Coffee 01,CUST0035,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-07,TXN000382,SKU000,Coffee 01,CUST0037,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-07,TXN000382,SKU008,Coffee 02,CUST0037,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-07,TXN000382,SKU056,Coffee 08,CUST0037,4.14,2,Coffee,B3,L,F1,False,2.48
2024-07-07,TXN000382,SKU012,Dairy 02,CUST0037,2.47,3,Dairy,B1,S,F1,False,1.48
2024-07-07,TXN000382,SKU015,Pet 02,CUST0037,14.75,2,Pet,B1,M,F4,False,8.85
2024-07-07,TXN000509,SKU003,Bakery 01,CUST0051,7.92,3,Bakery,B1,S,F4,False,4.75
2024-07-07,TXN000509,SKU008,Coffee 02,CUST0051,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-07,TXN000509,SKU006,Personal Care 01,CUST0051,6.63,2,Personal Care,B1,S,F3,False,3.98
2024-07-07,TXN000509,SKU013,Household 02,CUST0051,5.73,1,Household,B2,M,F2,False,3.44
2024-07-07,TXN000571,SKU007,Pet 01,CUST0057,12.11,2,Pet,B2,L,F4,False,7.27
2024-07-07,TXN000571,SKU001,Snacks 01,CUST0057,8.26,1,Snacks,B2,L,F2,False,4.96
2024-07-07,TXN000571,SKU013,Household 02,CUST0057,5.73,2,Household,B2,M,F2,False,3.44
2024-07-07,TXN000801,SKU001,Snacks 01,CUST0081,8.26,2,Snacks,B2,L,F2,False,4.96
2024-07-07,TXN000801,SKU009,Snacks 02,CUST0081,3.57,1,Snacks,B1,M,F2,False,2.14
2024-07-07,TXN000801,SKU010,Beverages 02,CUST0081,4.77,3,Beverages,B2,M,F3,False,2.86
2024-07-07,TXN000801,SKU002,Beverages 01,CUST0081,5.73,2,Beverages,B3,M,F3,False,3.44
2024-07-07,TXN000801,SKU000,Coffee 01,CUST0081,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-07,TXN000801,SKU042,Beverages 06,CUST0081,4.5,3,Beverages,B1,M,F3,False,2.7
2024-07-07,TXN000930,SKU003,Bakery 01,CUST0093,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-07,TXN000930,SKU005,Household 01,CUST0093,5.37,2,Household,B3,L,F2,False,3.22
2024-07-07,TXN000930,SKU000,Coffee 01,CUST0093,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-07,TXN000930,SKU027,Bakery 04,CUST0093,7.34,1,Bakery,B1,L,F4,False,4.4
2024-07-07,TXN001037,SKU002,Beverages 01,CUST0105,5.73,3,Beverages,B3,M,F3,False,3.44
2024-07-07,TXN001037,SKU009,Snacks 02,CUST0105,3.57,3,Snacks,B1,M,F2,False,2.14
2024-07-07,TXN001037,SKU017,Snacks 03,CUST0105,6.17,3,Snacks,B3,M,F2,False,3.7
2024-07-08,TXN000186,SKU010,Beverages 02,CUST0018,4.77,3,Beverages,B2,M,F3,False,2.86
2024-07-08,TXN000186,SKU025,Snacks 04,CUST0018,6.63,3,Snacks,B2,M,F2,False,3.98
2024-07-08,TXN000186,SKU006,Personal Care 01,CUST0018,6.63,1,Personal Care,B1,S,F3,False,3.98
2024-07-08,TXN000528,SKU006,Personal Care 01,CUST0052,6.63,3,Personal Care,B1,S,F3,False,3.98
2024-07-08,TXN000528,SKU014,Personal Care 02,CUST0052,7.0,2,Personal Care,B3,M,F3,False,4.2
2024-07-08,TXN000548,SKU032,Coffee 05,CUST0054,10.67,1,Coffee,B3,S,F1,False,6.4
2024-07-08,TXN000548,SKU034,Beverages 05,CUST0054,13.18,1,Beverages,B2,M,F3,False,7.91
2024-07-08,TXN000617,SKU048,Coffee 07,CUST0061,9.69,3,Coffee,B1,M,F1,False,5.81
2024-07-08,TXN000617,SKU033,Snacks 05,CUST0061,6.13,2,Snacks,B1,S,F2,False,3.68
2024-07-08,TXN000993,SKU000,Coffee 01,CUST0100,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-08,TXN000993,SKU008,Coffee 02,CUST0100,13.87,2,Coffee,B3,M,F1,False,8.32
2024-07-08,TXN000993,SKU002,Beverages 01,CUST0100,5.73,2,Beverages,B3,M,F3,False,3.44
2024-07-08,TXN000993,SKU006,Personal Care 01,CUST0100,6.63,2,Personal Care,B1,S,F3,False,3.98
2024-07-08,TXN000993,SKU029,Household 04,CUST0100,14.03,1,Household,B3,M,F2,False,8.42
2024-07-08,TXN001122,SKU001,Snacks 01,CUST0114,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-08,TXN001122,SKU002,Beverages 01,CUST0114,5.73,3,Beverages,B3,M,F3,False,3.44
2024-07-08,TXN001122,SKU010,Beverages 02,CUST0114,4.77,2,Beverages,B2,M,F3,False,2.86
2024-07-08,TXN001122,SKU000,Coffee 01,CUST0114,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-08,TXN001122,SKU007,Pet 01,CUST0114,12.11,3,Pet,B2,L,F4,False,7.27
2024-07-09,TXN000313,SKU010,Beverages 02,CUST0031,4.77,3,Beverages,B2,M,F3,False,2.86
2024-07-09,TXN000313,SKU025,Snacks 04,CUST0031,6.63,2,Snacks,B2,M,F2,False,3.98
2024-07-09,TXN000313,SKU004,Dairy 01,CUST0031,3.85,3,Dairy,B2,M,F1,False,2.31
2024-07-09,TXN000313,SKU003,Bakery 01,CUST0031,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-09,TXN000313,SKU019,Bakery 03,CUST0031,6.44,3,Bakery,B2,L,F4,False,3.86
2024-07-09,TXN000313,SKU036,Dairy 05,CUST0031,10.18,1,Dairy,B1,M,F1,False,6.11
2024-07-09,TXN000840,SKU014,Personal Care 02,CUST0084,7.0,2,Personal Care,B3,M,F3,False,4.2
2024-07-09,TXN000840,SKU025,Snacks 04,CUST0084,6.63,3,Snacks,B2,M,F2,False,3.98
2024-07-09,TXN000840,SKU004,Dairy 01,CUST0084,3.85,3,Dairy,B2,M,F1,False,2.31
2024-07-09,TXN000840,SKU056,Coffee 08,CUST0084,4.14,3,Coffee,B3,L,F1,False,2.48
2024-07-09,TXN000840,SKU033,Snacks 05,CUST0084,6.13,2,Snacks,B1,S,F2,False,3.68
2024-07-09,TXN000840,SKU000,Coffee 01,CUST0084,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-09,TXN001058,SKU002,Beverages 01,CUST0108,5.73,2,Beverages,B3,M,F3,False,3.44
2024-07-09,TXN001058,SKU005,Household 01,CUST0108,5.37,1,Household,B3,L,F2,False,3.22
2024-07-09,TXN001058,SKU004,Dairy 01,CUST0108,3.85,2,Dairy,B2,M,F1,False,2.31
2024-07-09,TXN001058,SKU003,Bakery 01,CUST0108,7.92,3,Bakery,B1,S,F4,False,4.75
2024-07-09,TXN001058,SKU028,Dairy 04,CUST0108,5.79,2,Dairy,B2,M,F1,False,3.47
2024-07-09,TXN001058,SKU000,Coffee 01,CUST0108,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-09,TXN001087,SKU001,Snacks 01,CUST0111,8.26,2,Snacks,B2,L,F2,False,4.96
2024-07-09,TXN001087,SKU000,Coffee 01,CUST0111,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-09,TXN001087,SKU027,Bakery 04,CUST0111,7.34,3,Bakery,B1,L,F4,False,4.4
2024-07-09,TXN001087,SKU010,Beverages 02,CUST0111,4.77,3,Beverages,B2,M,F3,False,2.86
2024-07-09,TXN001087,SKU007,Pet 01,CUST0111,12.11,3,Pet,B2,L,F4,False,7.27
2024-07-09,TXN001087,SKU003,Bakery 01,CUST0111,7.92,3,Bakery,B1,S,F4,False,4.75
2024-07-10,TXN000415,SKU003,Bakery 01,CUST0040,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-10,TXN000415,SKU004,Dairy 01,CUST0040,3.85,2,Dairy,B2,M,F1,False,2.31
2024-07-10,TXN000415,SKU006,Personal Care 01,CUST0040,6.63,3,Personal Care,B1,S,F3,False,3.98
2024-07-10,TXN000415,SKU026,Beverages 04,CUST0040,4.0,1,Beverages,B3,M,F3,False,2.4
2024-07-10,TXN000514,SKU008,Coffee 02,CUST0051,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-10,TXN000514,SKU012,Dairy 02,CUST0051,2.47,3,Dairy,B1,S,F1,False,1.48
2024-07-10,TXN000514,SKU001,Snacks 01,CUST0051,8.26,2,Snacks,B2,L,F2,False,4.96
2024-07-10,TXN000514,SKU007,Pet 01,CUST0051,12.11,3,Pet,B2,L,F4,False,7.27
2024-07-10,TXN000514,SKU016,Coffee 03,CUST0051,10.8,3,Coffee,B2,L,F1,False,6.48
2024-07-10,TXN000514,SKU047,Pet 06,CUST0051,8.27,2,Pet,B3,M,F4,False,4.96
2024-07-10,TXN000570,SKU010,Beverages 02,CUST0057,4.77,1,Beverages,B2,M,F3,False,2.86
2024-07-10,TXN000570,SKU003,Bakery 01,CUST0057,7.92,2,Bakery,B1,S,F4,False,4.75
2024-07-10,TXN000570,SKU001,Snacks 01,CUST0057,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-10,TXN000732,SKU002,Beverages 01,CUST0075,5.73,3,Beverages,B3,M,F3,False,3.44
2024-07-10,TXN000732,SKU027,Bakery 04,CUST0075,7.34,2,Bakery,B1,L,F4,False,4.4
2024-07-10,TXN000732,SKU000,Coffee 01,CUST0075,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-10,TXN000732,SKU003,Bakery 01,CUST0075,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-10,TXN000732,SKU039,Pet 05,CUST0075,2.92,3,Pet,B1,S,F4,False,1.75
2024-07-10,TXN000732,SKU041,Snacks 06,CUST0075,6.25,2,Snacks,B3,L,F2,False,3.75
2024-07-10,TXN000940,SKU001,Snacks 01,CUST0094,8.26,2,Snacks,B2,L,F2,False,4.96
2024-07-10,TXN000940,SKU000,Coffee 01,CUST0094,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-10,TXN000940,SKU026,Beverages 04,CUST0094,4.0,3,Beverages,B3,M,F3,False,2.4
2024-07-10,TXN000940,SKU005,Household 01,CUST0094,5.37,1,Household,B3,L,F2,False,3.22
2024-07-10,TXN000940,SKU007,Pet 01,CUST0094,12.11,2,Pet,B2,L,F4,False,7.27
2024-07-10,TXN001055,SKU008,Coffee 02,CUST0108,13.87,1,Coffee,B3,M,F1,False,8.32
2024-07-10,TXN001055,SKU012,Dairy 02,CUST0108,2.47,1,Dairy,B1,S,F1,False,1.48
2024-07-10,TXN001055,SKU001,Snacks 01,CUST0108,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-11,TXN000091,SKU015,Pet 02,CUST0007,14.75,2,Pet,B1,M,F4,False,8.85
2024-07-11,TXN000091,SKU000,Coffee 01,CUST0007,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-11,TXN000101,SKU008,Coffee 02,CUST0009,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-11,TXN000101,SKU012,Dairy 02,CUST0009,2.47,3,Dairy,B1,S,F1,False,1.48
2024-07-11,TXN000101,SKU001,Snacks 01,CUST0009,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-11,TXN000380,SKU010,Beverages 02,CUST0037,4.77,2,Beverages,B2,M,F3,False,2.86
2024-07-11,TXN000380,SKU025,Snacks 04,CUST0037,6.63,1,Snacks,B2,M,F2,False,3.98
2024-07-11,TXN000380,SKU000,Coffee 01,CUST0037,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-11,TXN000380,SKU040,Coffee 06,CUST0037,2.41,3,Coffee,B2,S,F1,False,1.45
2024-07-11,TXN000416,SKU003,Bakery 01,CUST0040,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-11,TXN000416,SKU014,Personal Care 02,CUST0040,7.0,3,Personal Care,B3,M,F3,False,4.2
2024-07-11,TXN000416,SKU027,Bakery 04,CUST0040,7.34,3,Bakery,B1,L,F4,False,4.4
2024-07-11,TXN000416,SKU007,Pet 01,CUST0040,12.11,1,Pet,B2,L,F4,False,7.27
2024-07-11,TXN000416,SKU018,Beverages 03,CUST0040,6.03,2,Beverages,B1,M,F3,False,3.62
2024-07-11,TXN000416,SKU012,Dairy 02,CUST0040,2.47,2,Dairy,B1,S,F1,False,1.48
2024-07-11,TXN000795,SKU008,Coffee 02,CUST0081,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-11,TXN000795,SKU000,Coffee 01,CUST0081,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-11,TXN000932,SKU000,Coffee 01,CUST0094,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-11,TXN000932,SKU001,Snacks 01,CUST0094,8.26,1,Snacks,B2,L,F2,False,4.96
2024-07-11,TXN000932,SKU054,Personal Care 07,CUST0094,7.07,1,Personal Care,B1,M,F3,False,4.24
2024-07-11,TXN000932,SKU056,Coffee 08,CUST0094,4.14,2,Coffee,B3,L,F1,False,2.48
2024-07-11,TXN000932,SKU009,Snacks 02,CUST0094,3.57,2,Snacks,B1,M,F2,False,2.14
2024-07-12,TXN000097,SKU000,Coffee 01,CUST0007,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-12,TXN000097,SKU058,Beverages 08,CUST0007,4.61,3,Beverages,B2,L,F3,False,2.77
2024-07-12,TXN000097,SKU008,Coffee 02,CUST0007,13.87,2,Coffee,B3,M,F1,False,8.32
2024-07-12,TXN000097,SKU036,Dairy 05,CUST0007,10.18,2,Dairy,B1,M,F1,False,6.11
2024-07-12,TXN000265,SKU027,Bakery 04,CUST0025,7.34,1,Bakery,B1,L,F4,False,4.4
2024-07-12,TXN000265,SKU000,Coffee 01,CUST0025,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-12,TXN000265,SKU006,Personal Care 01,CUST0025,6.63,1,Personal Care,B1,S,F3,False,3.98
2024-07-12,TXN000265,SKU025,Snacks 04,CUST0025,6.63,3,Snacks,B2,M,F2,False,3.98
2024-07-12,TXN000265,SKU008,Coffee 02,CUST0025,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-12,TXN000462,SKU024,Coffee 04,CUST0046,6.91,3,Coffee,B1,S,F1,False,4.15
2024-07-12,TXN000462,SKU034,Beverages 05,CUST0046,13.18,3,Beverages,B2,M,F3,False,7.91
2024-07-12,TXN000462,SKU006,Personal Care 01,CUST0046,6.63,1,Personal Care,B1,S,F3,False,3.98
2024-07-12,TXN000629,SKU000,Coffee 01,CUST0063,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-12,TXN000629,SKU037,Household 05,CUST0063,3.63,3,Household,B2,S,F2,False,2.18
2024-07-12,TXN000629,SKU034,Beverages 05,CUST0063,13.18,1,Beverages,B2,M,F3,False,7.91
2024-07-12,TXN000629,SKU047,Pet 06,CUST0063,8.27,1,Pet,B3,M,F4,False,4.96
2024-07-12,TXN000629,SKU003,Bakery 01,CUST0063,7.92,2,Bakery,B1,S,F4,False,4.75
2024-07-12,TXN000629,SKU021,Household 03,CUST0063,5.84,1,Household,B1,S,F2,False,3.5
2024-07-12,TXN000767,SKU008,Coffee 02,CUST0078,13.87,2,Coffee,B3,M,F1,False,8.32
2024-07-12,TXN000767,SKU012,Dairy 02,CUST0078,2.47,2,Dairy,B1,S,F1,False,1.48
2024-07-12,TXN000767,SKU001,Snacks 01,CUST0078,8.26,2,Snacks,B2,L,F2,False,4.96
2024-07-12,TXN000767,SKU002,Beverages 01,CUST0078,5.73,3,Beverages,B3,M,F3,False,3.44
2024-07-12,TXN000767,SKU000,Coffee 01,CUST0078,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-12,TXN000767,SKU046,Personal Care 06,CUST0078,5.24,3,Personal Care,B2,S,F3,False,3.14
2024-07-12,TXN000857,SKU008,Coffee 02,CUST0087,13.87,3,Coffee,B3,M,F1,False,8.32
2024-07-12,TXN000857,SKU012,Dairy 02,CUST0087,2.47,3,Dairy,B1,S,F1,False,1.48
2024-07-12,TXN000857,SKU001,Snacks 01,CUST0087,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-12,TXN000857,SKU000,Coffee 01,CUST0087,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-12,TXN000857,SKU017,Snacks 03,CUST0087,6.17,2,Snacks,B3,M,F2,False,3.7
2024-07-13,TXN000043,SKU006,Personal Care 01,CUST0003,6.63,2,Personal Care,B1,S,F3,False,3.98
2024-07-13,TXN000043,SKU044,Dairy 06,CUST0003,25.4,2,Dairy,B3,M,F1,False,15.24
2024-07-13,TXN000043,SKU021,Household 03,CUST0003,5.84,3,Household,B1,S,F2,False,3.5
2024-07-13,TXN000043,SKU004,Dairy 01,CUST0003,3.85,1,Dairy,B2,M,F1,False,2.31
2024-07-13,TXN000043,SKU002,Beverages 01,CUST0003,5.73,3,Beverages,B3,M,F3,False,3.44
2024-07-13,TXN000224,SKU011,Bakery 02,CUST0021,10.55,2,Bakery,B3,S,F4,False,6.33
2024-07-13,TXN000224,SKU020,Dairy 03,CUST0021,17.08,1,Dairy,B3,S,F1,False,10.25
2024-07-13,TXN000224,SKU016,Coffee 03,CUST0021,10.8,3,Coffee,B2,L,F1,False,6.48
2024-07-13,TXN000224,SKU002,Beverages 01,CUST0021,5.73,1,Beverages,B3,M,F3,False,3.44
2024-07-13,TXN000224,SKU010,Beverages 02,CUST0021,4.77,1,Beverages,B2,M,F3,False,2.86
2024-07-13,TXN000224,SKU003,Bakery 01,CUST0021,7.92,1,Bakery,B1,S,F4,False,4.75
2024-07-13,TXN000254,SKU029,Household 04,CUST0024,14.03,2,Household,B3,M,F2,False,8.42
2024-07-13,TXN000254,SKU007,Pet 01,CUST0024,12.11,2,Pet,B2,L,F4,False,7.27
2024-07-13,TXN000254,SKU001,Snacks 01,CUST0024,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-13,TXN000254,SKU037,Household 05,CUST0024,3.63,1,Household,B2,S,F2,False,2.18
2024-07-13,TXN000345,SKU007,Pet 01,CUST0034,12.11,1,Pet,B2,L,F4,False,7.27
2024-07-13,TXN000345,SKU043,Bakery 06,CUST0034,8.09,1,Bakery,B2,L,F4,False,4.85
2024-07-13,TXN000596,SKU024,Coffee 04,CUST0060,6.91,3,Coffee,B1,S,F1,False,4.15
2024-07-13,TXN000596,SKU019,Bakery 03,CUST0060,6.44,2,Bakery,B2,L,F4,False,3.86
2024-07-13,TXN000596,SKU028,Dairy 04,CUST0060,5.79,3,Dairy,B2,M,F1,False,3.47
2024-07-13,TXN000596,SKU003,Bakery 01,CUST0060,7.92,3,Bakery,B1,S,F4,False,4.75
2024-07-13,TXN000771,SKU031,Pet 04,CUST0078,7.29,1,Pet,B2,S,F4,False,4.37
2024-07-13,TXN000771,SKU005,Household 01,CUST0078,5.37,2,Household,B3,L,F2,False,3.22
2024-07-13,TXN000771,SKU001,Snacks 01,CUST0078,8.26,2,Snacks,B2,L,F2,False,4.96
2024-07-13,TXN000771,SKU013,Household 02,CUST0078,5.73,1,Household,B2,M,F2,False,3.44
2024-07-13,TXN001141,SKU010,Beverages 02,CUST0117,4.77,2,Beverages,B2,M,F3,False,2.86
2024-07-13,TXN001141,SKU000,Coffee 01,CUST0117,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-13,TXN001141,SKU051,Bakery 07,CUST0117,10.87,1,Bakery,B1,M,F4,False,6.52
2024-07-14,TXN000053,SKU000,Coffee 01,CUST0003,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-14,TXN000053,SKU034,Beverages 05,CUST0003,13.18,3,Beverages,B2,M,F3,False,7.91
2024-07-14,TXN000098,SKU000,Coffee 01,CUST0007,5.1,2,Coffee,B1,M,F1,False,3.06
2024-07-14,TXN000098,SKU008,Coffee 02,CUST0007,13.87,1,Coffee,B3,M,F1,False,8.32
2024-07-14,TXN000100,SKU012,Dairy 02,CUST0008,2.47,3,Dairy,B1,S,F1,False,1.48
2024-07-14,TXN000100,SKU016,Coffee 03,CUST0008,10.8,3,Coffee,B2,L,F1,False,6.48
2024-07-14,TXN000100,SKU007,Pet 01,CUST0008,12.11,1,Pet,B2,L,F4,False,7.27
2024-07-14,TXN000100,SKU019,Bakery 03,CUST0008,6.44,2,Bakery,B2,L,F4,False,3.86
2024-07-14,TXN000183,SKU010,Beverages 02,CUST0018,4.77,2,Beverages,B2,M,F3,False,2.86
2024-07-14,TXN000183,SKU025,Snacks 04,CUST0018,6.63,1,Snacks,B2,M,F2,False,3.98
2024-07-14,TXN000619,SKU010,Beverages 02,CUST0061,4.77,3,Beverages,B2,M,F3,False,2.86
2024-07-14,TXN000619,SKU025,Snacks 04,CUST0061,6.63,1,Snacks,B2,M,F2,False,3.98
2024-07-14,TXN001098,SKU001,Snacks 01,CUST0112,8.26,1,Snacks,B2,L,F2,False,4.96
2024-07-14,TXN001098,SKU006,Personal Care 01,CUST0112,6.63,3,Personal Care,B1,S,F3,False,3.98
2024-07-14,TXN001098,SKU002,Beverages 01,CUST0112,5.73,1,Beverages,B3,M,F3,False,3.44
2024-07-15,TXN000193,SKU007,Pet 01,CUST0018,12.11,1,Pet,B2,L,F4,False,7.27
2024-07-15,TXN000193,SKU015,Pet 02,CUST0018,14.75,3,Pet,B1,M,F4,False,8.85
2024-07-15,TXN000193,SKU021,Household 03,CUST0018,5.84,3,Household,B1,S,F2,False,3.5
2024-07-15,TXN000193,SKU022,Personal Care 03,CUST0018,6.25,1,Personal Care,B2,M,F3,False,3.75
2024-07-15,TXN000193,SKU029,Household 04,CUST0018,14.03,3,Household,B3,M,F2,False,8.42
2024-07-15,TXN000193,SKU058,Beverages 08,CUST0018,4.61,1,Beverages,B2,L,F3,False,2.77
2024-07-15,TXN000196,SKU018,Beverages 03,CUST0019,6.03,1,Beverages,B1,M,F3,False,3.62
2024-07-15,TXN000196,SKU033,Snacks 05,CUST0019,6.13,3,Snacks,B1,S,F2,False,3.68
2024-07-15,TXN000196,SKU041,Snacks 06,CUST0019,6.25,2,Snacks,B3,L,F2,False,3.75
2024-07-15,TXN000196,SKU050,Beverages 07,CUST0019,6.6,3,Beverages,B3,M,F3,False,3.96
2024-07-15,TXN000196,SKU001,Snacks 01,CUST0019,8.26,1,Snacks,B2,L,F2,False,4.96
2024-07-15,TXN000196,SKU003,Bakery 01,CUST0019,7.92,3,Bakery,B1,S,F4,False,4.75
2024-07-15,TXN000218,SKU013,Household 02,CUST0021,5.73,3,Household,B2,M,F2,False,3.44
2024-07-15,TXN000218,SKU030,Personal Care 04,CUST0021,10.58,3,Personal Care,B1,M,F3,False,6.35
2024-07-15,TXN000218,SKU000,Coffee 01,CUST0021,5.1,1,Coffee,B1,M,F1,False,3.06
2024-07-15,TXN000218,SKU019,Bakery 03,CUST0021,6.44,2,Bakery,B2,L,F4,False,3.86
2024-07-15,TXN000218,SKU001,Snacks 01,CUST0021,8.26,3,Snacks,B2,L,F2,False,4.96
2024-07-15,TXN000235,SKU000,Coffee 01,CUST0022,5.1,3,Coffee,B1,M,F1,False,3.06
2024-07-15,TXN000235,SKU029,Household 04,CUST0022,14.03,3,Household,B3,M,F2,False,8.42
2024-07-15,TXN000235,SKU009,Snacks 02,CUST0022,3.57,2,Snacks,B1,M,F2,False,2.14
